tract_fips,nta_code
36081138502,QN1191
36081143500,QN1102
36081144100,QN1102
36081144700,QN1102
36081145101,QN1101
36081145102,QN1101
36081139900,QN1102
36081140901,QN1101
36081140902,QN1101
36081142900,QN1101
36081146300,QN1101
36081146700,QN1102
36081147100,QN1102
36081147900,QN1103
36081148300,QN1103
36081150701,QN1103
36081071600,QN8381
36081069702,QN0601
36081070700,QN0602
36081071100,QN0602
36081072900,QN0602
36081073900,QN0602
36081074300,QN0602
36081074500,QN0602
36081076902,QN0602
36081073100,QN0602
36081073700,QN0602
36081077300,QN0901
36081077500,QN0901
36081077902,QN0801
36081077903,QN0801
36081077905,QN0801
36081078800,QN1203
36081079200,QN1203
36081079300,QN0871
36081079900,QN0706
36081150702,QN1103
36081152901,QN1103
36081152902,QN1103
36081155101,QN1301
36081156700,QN1302
36081157101,QN1302
36081157901,QN1301
36081157902,QN1301
36081157903,QN1301
36081161700,QN1302
36081162100,QN1302
36081037900,QN0303
36081048200,QN1206
36081048400,QN1206
36081037501,QN0402
36081040901,QN0402
36081120701,QN0705
36081066301,QN0504
36081088902,QN0707
36081088903,QN0704
36081040502,QN0303
36081040501,QN0402
36081040301,QN0402
36081039901,QN0402
36081040101,QN0402
36081134701,QN0803
36081134702,QN0803
36081028801,QN1203
36081084902,QN0707
36081066302,QN0504
36081122703,QN0802
36081122704,QN0802
36081021602,QN0901
36081027102,QN0401
36081046902,QN0401
36081046901,QN0401
36081119300,QN0705
36081119900,QN0705
36081120500,QN0705
36081121500,QN0706
36081122300,QN0803
36081119500,QN0705
36081122702,QN0802
36081124100,QN0802
36081125700,QN0802
36081126500,QN0802
36081126700,QN0802
36081128300,QN0891
36081130100,QN1302
36081056600,QN1303
36081115100,QN0704
36081120300,QN0705
36081066100,QN0504
36081079000,QN1203
36081103300,QN0702
36081133300,QN0803
36081134100,QN0803
36081136700,QN1104
36081101002,QN1401
36081101700,QN0703
36081115500,QN0704
36081094201,QN1402
36081094202,QN1402
36081001903,QN0201
36081053901,QN0502
36081117100,QN0704
36081116100,QN0707
36081116700,QN0704
36081117500,QN0704
36081118100,QN1101
36081119100,QN0705
36081017102,QN0161
36081017101,QN0261
36081027701,QN0301
